cell_id,weighted_population,historical_density,weighted_housing_units,log_density,log_pop,r_j,cluster_label
0,1.0,1.802890032722454e-06,0.01651085486883,0.0018012667772286657,0.6931471805599453,0.23921199865400342,7
1,1.0,1.0817340196334724e-05,0.4138219558148022,0.010759251307922643,0.6931471805599453,0.2481699831846974,7
2,2.283645130537202,5.408670098167362e-06,0.9623240231746332,0.005394095770254811,1.1889541256225207,0.12709751425207358,7
3,4.183014108797972,1.802890032722454e-06,1.7633418720365732,0.0018012667772286657,1.6453867613335138,0.016986221671910245,1
4,3.3101467503665254,1.2620230229057179e-05,1.3958814243842237,0.012541258854061885,1.4609719523449476,0.07076341262383769,7
5,1.0,1.802890032722454e-06,0.0939857714101274,0.0018012667772286657,0.6931471805599453,0.23921199865400342,7
6,1.0,1.802890032722454e-06,0.0408652064523686,0.0018012667772286657,0.6931471805599453,0.23921199865400342,7
7,1.0,3.605780065444908e-06,0.0023222687371953,0.00359929482539553,0.6931471805599453,0.24101002670217028,7
8,1.0,1.802890032722454e-06,0.1030484470946302,0.0018012667772286657,0.6931471805599453,0.23921199865400342,7
9,7.476817611681346,3.786069068717154e-05,3.1495667867123256,0.037161566379562375,2.137335097726683,-0.06246030202668333,1
10,7.705222242291096,0.00010637051193062479,3.246978728424175,0.10108484874517916,2.1639231033125332,-0.0047419079255513336,1
11,7.705222242256101,9.555317173429006e-05,3.248142496562736,0.09125941537419376,2.1639231033085133,-0.014567341295598599,1
12,7.705222242279035,3.605780065444908e-05,3.2493064799299085,0.035422934418467014,2.1639231033111477,-0.07040382225194007,1
13,7.705222242267992,1.802890032722454e-06,3.2504706784861126,0.0018012667772286657,2.1639231033098794,-0.10402548989288243,1
14,7.705222242278015,0.00031911153579187437,3.2516350921448813,0.2769584310334021,2.1639231033110304,0.17113167436302235,1
15,6.3768242783699085,0.00010276473186517989,2.689158205717757,0.09782041912037091,1.9983432314164682,0.030635319893459953,1
16,10.56659740019428,5.588959101439608e-05,4.357783816589855,0.05438362585428299,2.448121409810947,-0.11776697489284996,1
17,1.5697050023210335,1.802890032722454e-06,0.6612644910698658,0.0018012667772286657,0.9437911072297239,0.18071879749470499,7
18,7.705222242279715,3.2452020589004175e-05,3.2469908390181628,0.031936575610133675,2.163923103311226,-0.07389018106029173,1
19,7.705222242270373,9.735606176701252e-05,3.2481546116020388,0.09290370635658789,2.1639231033101525,-0.01292305031358694,1
20,7.705222242273939,5.949537107984099e-05,3.2493185994285945,0.05779272975002903,2.1639231033105624,-0.048034026920241495,1
21,7.705222242286511,4.1466470752616446e-05,3.25048280243878,0.04062978797227178,2.1639231033120065,-0.06519696869833581,1
22,39.05879931224163,0.0003894242470680501,13.623872602495794,0.32888945059122465,3.69034835755289,-0.1331617741415122,3
23,12.794358486349898,0.0006850982124345325,5.2994777713661705,0.5218238484170392,2.624259703242513,0.3085675533630895,1
24,54.97065625892951,3.2452020589004175e-05,22.671747013362097,0.031936575610133675,4.024827558025336,-0.5081726312839364,3
25,8.657006623800712,9.194739166884516e-05,3.5773373494650498,0.08796270003477523,2.2676837268912156,-0.04207885053917372,1
26,1.0,1.802890032722454e-06,3.8577079683099074e-05,0.0018012667772286657,0.6931471805599453,0.23921199865400342,7
27,3.6476580538056567,3.064913055628172e-05,1.537146253861311,0.030188827574948156,1.5363634483849828,0.07081673917750712,7
28,8.93937364802627,0.00011718785212695952,3.612335120684623,0.1108146815308056,2.2965040054060277,-0.02595270665282516,1
29,48.885639040707865,0.00010276473186517989,17.08679734524941,0.09782041912037091,3.9097331665612156,-0.4154290131058393,3
30,113.28961682675016,9.735606176701252e-05,38.635013326675264,0.09290370635658789,4.738735725263674,-0.6138114685749803,2
