year,cell_id,population,housing_units,occupied_units,owner_occupied,renter_occupied,median_income,total_jobs,low_wage_jobs,mid_wage_jobs,high_wage_jobs,jobs_retail,jobs_transport,jobs_info,jobs_professional,jobs_management,jobs_healthcare,n_commercial,n_industrial,n_institutional,n_other,n_residential,area_commercial,area_industrial,area_institutional,area_other,area_residential,bldg_count,bldg_total_area,bldg_frac_commercial,bldg_frac_industrial,bldg_frac_institutional,bldg_frac_other,bldg_frac_residential,bldg_mix_entropy,bldg_density,log_bldg_count,log_bldg_area,total_road_length,road_segment_count,major_road_length,road_density,log_road_length,zone_frac_commercial,zone_frac_industrial,zone_frac_office,zone_frac_other,zone_frac_residential,zone_frac_special,zone_mix_entropy,log_pop,log_housing,log_jobs,log_income
2022,0,10.611050610002147,4.474227816404109,4.1158462324311955,3.569037217709636,0.5468090147215592,115000.0,1.6219537666403003,0.34360296195341217,0.35099227296316293,0.9273585317237253,0.0036946555048753995,0.0,0.0036946555048753995,0.018473277524376996,0.08497707661213419,0.10714500964138658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14603.484347270043,5.0,13387.73091812312,0.005864474493488,9.589083907609712,0.0,0.0,0.0,0.0,1.0,0.0,1.151292546497023e-08,2.4519572834332464,1.7000512276560502,0.96391975232575,11.652696102959753
2023,0,10.732974241663035,4.647876625133253,4.130624854450697,3.4618922080682495,0.6687326463824473,120203.0,1.5221980680086646,0.33990830644853676,0.32512968442903517,0.8571600771310927,0.033251899543878596,0.0,0.007389311009750799,0.007389311009750799,0.040641210553629396,0.029557244039003196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14603.484347270043,5.0,13387.73091812312,0.005864474493488,9.589083907609712,0.0,0.0,0.0,0.0,1.0,0.0,1.151292546497023e-08,2.462403189063899,1.7312796559603696,0.9251307705448407,11.696945578399765
2024,0,11.165248935733457,5.032120797640294,4.422502639335853,3.709434126894901,0.7130685124409522,118924.0,1.5221980680086646,0.33990830644853676,0.32512968442903517,0.8571600771310927,0.033251899543878596,0.0,0.007389311009750799,0.007389311009750799,0.040641210553629396,0.029557244039003196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14603.484347270043,5.0,13387.73091812312,0.005864474493488,9.589083907609712,0.0,0.0,0.0,0.0,1.0,0.0,1.151292546497023e-08,2.4985834393005475,1.7970986566391356,0.9251307705448407,11.686248321300482
2025,0,11.165248935733457,5.032120797640294,4.422502639335853,3.709434126894901,0.7130685124409522,118924.0,1.5221980680086646,0.33990830644853676,0.32512968442903517,0.8571600771310927,0.033251899543878596,0.0,0.007389311009750799,0.007389311009750799,0.040641210553629396,0.029557244039003196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14603.484347270043,5.0,13387.73091812312,0.005864474493488,9.589083907609712,0.0,0.0,0.0,0.0,1.0,0.0,1.151292546497023e-08,2.4985834393005475,1.7970986566391356,0.9251307705448407,11.686248321300482
2022,1,53.116395907215754,22.39692041909411,20.602947437548174,17.865751548179116,2.737195889369057,115000.0,8.119114834006865,1.7199947142656913,1.7569838479058137,4.64213627183536,0.018494566820061197,0.0,0.018494566820061197,0.09247283410030599,0.42537503686140754,0.5363424377817747,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,836.6877679619197,3223.6147298411656,2.0,4060.3024978030858,0.0,0.0,0.0,0.5,0.5,0.6931471874677005,0.0003594054287093,1.0986122886681098,8.309259013413296,22163.51809050777,21.0,4929.7763870699,0.0019618461248479,10.00624800503022,0.0,0.0,0.0,0.0,1.0,0.0,1.151292546497023e-08,3.9911372066138235,3.152604407681204,2.2103727417011534,11.652696102959753
2023,1,53.72671661227778,23.266165059636986,20.676925704828417,17.329409110397343,3.3475165944310765,120203.0,7.619761529865213,1.7015001474456302,1.6275218801653852,4.290739502254198,0.16645110138055078,0.0,0.03698913364012239,0.03698913364012239,0.20344023502067315,0.14795653456048957,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,836.6877679619197,3223.6147298411656,2.0,4060.3024978030858,0.0,0.0,0.0,0.5,0.5,0.6931471874677005,0.0003594054287093,1.0986122886681098,8.309259013413296,22129.78973462048,21.0,4929.7763870699,0.0019588605950225,10.004725118563826,0.0,0.0,0.0,0.0,1.0,0.0,1.151292546497023e-08,4.002352010889147,3.1890829957015354,2.1540574195441105,11.696945578399765
2024,1,55.890580930224935,25.18960000892335,22.137996483613254,18.56854508734144,3.569451396271811,118924.0,7.619761529865213,1.7015001474456302,1.6275218801653852,4.290739502254198,0.16645110138055078,0.0,0.03698913364012239,0.03698913364012239,0.20344023502067315,0.14795653456048957,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,836.6877679619197,3223.6147298411656,2.0,4060.3024978030858,0.0,0.0,0.0,0.5,0.5,0.6931471874677005,0.0003594054287093,1.0986122886681098,8.309259013413296,22129.78973462048,21.0,4929.7763870699,0.0019588605950225,10.004725118563826,0.0,0.0,0.0,0.0,1.0,0.0,1.151292546497023e-08,4.041129790175087,3.2653623857387446,2.1540574195441105,11.686248321300482
2025,1,55.890580930224935,25.18960000892335,22.137996483613254,18.56854508734144,3.569451396271811,118924.0,7.619761529865213,1.7015001474456302,1.6275218801653852,4.290739502254198,0.16645110138055078,0.0,0.03698913364012239,0.03698913364012239,0.20344023502067315,0.14795653456048957,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,836.6877679619197,3223.6147298411656,2.0,4060.3024978030858,0.0,0.0,0.0,0.5,0.5,0.6931471874677005,0.0003594054287093,1.0986122886681098,8.309259013413296,22129.78973462048,21.0,4929.7763870699,0.0019588605950225,10.004725118563826,0.0,0.0,0.0,0.0,1.0,0.0,1.151292546497023e-08,4.041129790175087,3.2653623857387446,2.1540574195441105,11.686248321300482
2022,2,80.98536173224667,34.14807557721125,31.41284574154693,27.23950537372921,4.173340367817725,115000.0,12.379029874810685,2.6224368527503272,2.6788333442073236,7.0777596778530345,0.028198245728498144,0.0,0.028198245728498144,0.14099122864249072,0.6485596517554573,0.8177491261264461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30947.561834358217,10.0,10480.414650918654,0.0018782575265021,10.340081809645644,0.0,0.0,0.0,0.0,1.0,0.0,1.151292546497023e-08,4.406540715868065,3.559569867887665,2.593688546451893,11.652696102959753
2023,2,81.9159038412871,35.47339312645067,31.525638724460926,26.42175624760276,5.103882476858164,120203.0,11.617677240141235,2.594238607021829,2.481445624107837,6.541993009011569,0.2537842115564833,0.0,0.05639649145699629,0.05639649145699629,0.3101807030134796,0.22558596582798515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32845.51955029768,11.0,10480.414650918654,0.0019934476466164,10.399601068537056,0.0,0.0,0.0,0.0,1.0,0.0,1.151292546497023e-08,4.417826887424198,3.5965830393315343,2.5350987863015404,11.696945578399765
